,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
141,Fire Emblem Warriors,72.0,81.0,9.0,-9.0
142,GRID (2019),75.0,66.0,9.0,9.0
143,Baba Is You,86.0,80.0,6.0,6.0
144,Call of Juarez,72.0,78.0,6.0,-6.0
145,Need for Speed Rivals,77.0,86.0,9.0,-9.0
146,Multiwinia,76.0,69.0,7.0,7.0
147,>observer_,77.0,76.0,1.0,1.0
148,Insurgency,74.0,77.0,3.0,-3.0
149,Heavenly Sword,79.0,80.0,1.0,-1.0
150,Grand Ages: Medieval,63.0,70.0,7.0,-7.0
151,Watchmen: The End is Nigh,61.0,69.0,8.0,-8.0
152,Valkyria Chronicles 4,83.0,82.0,1.0,1.0
153,Starbound,81.0,78.0,3.0,3.0
154,Sherlock Holmes: The Mystery of the Mummy,61.0,73.0,12.0,-12.0
155,Greedfall,74.0,66.0,8.0,8.0
156,Order of Battle: World War II,81.0,63.0,18.0,18.0
157,Iron Brigade,75.0,66.0,9.0,9.0
158,Muse Dash,73.0,75.0,2.0,-2.0
159,Freedom Force vs. the Third Reich,86.0,75.0,11.0,11.0
160,Killing Floor,72.0,79.0,7.0,-7.0
161,Need for Speed: Shift,83.0,61.0,22.0,22.0
162,Hidden Agenda,66.0,90.0,24.0,-24.0
163,Yoshi's Crafted World,79.0,90.0,11.0,-11.0
164,Loki,61.0,76.0,15.0,-15.0
165,The Final Station,76.0,75.0,1.0,1.0
166,Before the Echo,70.0,75.0,5.0,-5.0
167,Sonic Generations,77.0,87.0,10.0,-10.0
168,Dungeon Siege 2,80.0,72.0,8.0,8.0
169,Dark Devotion,70.0,70.0,0.0,0.0
170,Dungeons - The Dark Lord,72.0,81.0,9.0,-9.0
171,Hektor,55.0,70.0,15.0,-15.0
172,The Novelist,66.0,71.0,5.0,-5.0
173,FEZ,91.0,72.0,19.0,19.0
174,Celeste,91.0,81.0,10.0,10.0
175,Far Cry 3 - Blood Dragon,81.0,68.0,13.0,13.0
176,World of Warcraft: Legion,88.0,81.0,7.0,7.0
177,Day of Defeat,79.0,77.0,2.0,2.0
178,SWAT 4,85.0,81.0,4.0,4.0
179,I Expect You To Die,76.0,72.0,4.0,4.0
180,METAL GEAR SOLID V: THE PHANTOM PAIN,91.0,82.0,9.0,9.0
181,Beijing 2008 - The Official Video Game of the Olympic Games,57.0,79.0,22.0,-22.0
182,World War III: Black Gold,71.0,86.0,15.0,-15.0
183,Lost Horizon,77.0,63.0,14.0,14.0
184,Neverending Nightmares,68.0,72.0,4.0,-4.0
185,Yaga,70.0,81.0,11.0,-11.0
186,FINAL FANTASY III,68.0,86.0,18.0,-18.0
187,Two Worlds,58.0,81.0,23.0,-23.0
188,ZONE OF THE ENDERS: The 2nd Runner - M∀RS,71.0,54.0,17.0,17.0
189,Shin Megami Tensei: Persona 3,86.0,80.0,6.0,6.0
190,Saints Row: The Third Remastered,73.0,80.0,7.0,-7.0
191,XCOM 2,88.0,79.0,9.0,9.0
192,The Getaway,72.0,80.0,8.0,-8.0
193,Scribblenauts Unlimited,75.0,68.0,7.0,7.0
194,FTL: Faster Than Light,84.0,80.0,4.0,4.0
195,Kholat,64.0,76.0,12.0,-12.0
196,Viridi,46.0,77.0,31.0,-31.0
197,"Warhammer 40,000: Dawn of War II Chaos Rising",85.0,87.0,2.0,-2.0
198,Mario Kart 8,88.0,88.0,0.0,0.0
199,World of Warplanes,69.0,80.0,11.0,-11.0
200,Mosaic,67.0,78.0,11.0,-11.0
201,The Long Journey Home,68.0,74.0,6.0,-6.0
202,The Walking Dead: A New Frontier,71.0,66.0,5.0,5.0
203,Warcraft III: Reforged,59.0,81.0,22.0,-22.0
204,Brigador,70.0,75.0,5.0,-5.0
205,Death's Gambit,72.0,84.0,12.0,-12.0
206,Dead Island,74.0,74.0,0.0,0.0
207,S.T.A.L.K.E.R.: Shadow of Chernobyl,82.0,76.0,6.0,6.0
208,Still Life,75.0,70.0,5.0,5.0
209,Farming Simulator 15,64.0,86.0,22.0,-22.0
210,Space Channel 5: Part 2,78.0,90.0,12.0,-12.0
211,Comanche 4,74.0,70.0,4.0,4.0
212,Catwoman,46.0,76.0,30.0,-30.0
213,Mirror's Edge,81.0,90.0,9.0,-9.0
214,Tron 2.0,84.0,89.0,5.0,-5.0
215,Alien Breed: Impact,64.0,59.0,5.0,5.0
216,Knack 2,71.0,76.0,5.0,-5.0
217,Men of War,80.0,77.0,3.0,3.0
218,Bionic Dues,71.0,66.0,5.0,5.0
219,ELEX,59.0,70.0,11.0,-11.0
220,The Book of Unwritten Tales,82.0,75.0,7.0,7.0
221,Earth 2150 Trilogy,78.0,77.0,1.0,1.0
222,Half-Life 2: Episode One,87.0,90.0,3.0,-3.0
223,Rayman Origins,86.0,87.0,1.0,-1.0
224,We Love Katamari,86.0,85.0,1.0,1.0
225,Maize,65.0,76.0,11.0,-11.0
226,Banjo-Kazooie,92.0,90.0,2.0,2.0
227,Rock of Ages 2: Bigger & Boulder,77.0,74.0,3.0,3.0
228,FINAL FANTASY IV,87.0,86.0,1.0,1.0
229,Halcyon 6: Starbase Commander,71.0,74.0,3.0,-3.0
230,Brothers in Arms: Road to Hill 30,87.0,84.0,3.0,3.0
231,Sam & Max: Episode 202 - Moai Better Blues,80.0,79.0,1.0,1.0
232,SteamWorld Dig 2,88.0,81.0,7.0,7.0
233,Has-Been Heroes,63.0,66.0,3.0,-3.0
234,Xenoblade Chronicles 3D,86.0,81.0,5.0,5.0
235,Nancy Drew: The Phantom of Venice,69.0,71.0,2.0,-2.0
236,BioShock Infinite,94.0,75.0,19.0,19.0
237,Lightmatter,73.0,75.0,2.0,-2.0
238,Ninja Pizza Girl,82.0,74.0,8.0,8.0
239,Headlander,74.0,54.0,20.0,20.0
240,Nancy Drew: The Creature of Kapu Cave,68.0,71.0,3.0,-3.0
241,Tiny and Big: Grandpa's Leftovers,75.0,75.0,0.0,0.0
242,Star Control: Origins,75.0,74.0,1.0,1.0
243,Lichdom: Battlemage,69.0,77.0,8.0,-8.0
244,METAL GEAR SOLID V: GROUND ZEROES,80.0,87.0,7.0,-7.0
245,Dying Light: The Following - Enhanced Edition,87.0,71.0,16.0,16.0
246,Fire Emblem Heroes,72.0,81.0,9.0,-9.0
247,FINAL FANTASY VIII,90.0,86.0,4.0,4.0
248,Cradle,65.0,71.0,6.0,-6.0
249,Wolcen: Lords of Mayhem,60.0,81.0,21.0,-21.0
250,Oceanhorn 2: Knights of the Lost Realm,69.0,78.0,9.0,-9.0
251,The Flame in the Flood,73.0,71.0,2.0,2.0
252,Forza Motorsport 6,87.0,79.0,8.0,8.0
253,Ride 2,67.0,68.0,1.0,-1.0
254,Transformers: The Game,56.0,86.0,30.0,-30.0
255,Blackguards,68.0,74.0,6.0,-6.0
